,Dates,"Los Angeles, CA","San Francisco, CA","Phoenix, AZ",Yellostone Park Area,Colorado FOrests DATA,Mississippi Region Fires,"North Cali, Oregon Region",Washington Region Fires
37,2020-11-07,75.68157361683285,108.07860582631315,0.0,34.60237497825324,288.55566845951444,31.010186931678014,193.2089086075278,80.48829447757765
38,2020-11-08,78.36012014614681,126.47495838350756,0.0,27.64772643350523,109.09458487180314,31.128997665590035,290.52132079925224,72.98536501860771
39,2020-11-09,74.05219606135165,46.48285962392446,0.0,30.992289563290115,156.90464731698944,35.276675664275295,218.01449935298692,72.88456526184693
40,2020-11-10,76.31066510480872,58.84863842994173,0.0,68.50664058291454,18.30877091792354,35.581587962411106,268.3743900528873,80.9461385488558
41,2020-11-11,80.31057865500111,0.0,0.0,38.54346646887939,12.878750294657948,35.781200906370856,276.18031190615847,78.13035168615733
42,2020-11-12,79.38234491561974,0.0,0.0,261.77636401054434,125.79555583201841,35.09895140198981,264.7001012641996,81.71719504321311
43,2020-11-13,84.93481409846919,0.0,0.0,291.9842781241651,55.74063731305842,36.4795986266906,254.44727469010684,61.91761711170659
44,2020-11-14,86.78088633253395,0.0,0.0,26.78834799556137,-3.767581731237442,31.489306035312644,269.1361247519313,68.58677519080356
45,2020-11-15,0.0,0.0,0.0,256.15015771517915,28.752868328396058,31.127667896311134,248.7469480816412,67.3891771698353
46,2020-11-16,0.0,0.0,0.0,353.1400438985386,27.407692665184868,32.26069669035658,257.23832033901743,64.83594579316787
47,2020-11-17,0.0,0.0,0.0,113.09369575369284,36.26956499021571,30.27370834595744,103.42652641061926,67.07986753569351
48,2020-11-18,0.0,0.0,0.0,86.13847324459414,32.150492189773324,35.232465331365866,231.63348511468982,67.05169905361964
49,2020-11-19,0.0,0.0,0.0,58.6897615021736,17.71783838982992,35.873571105622894,208.69038145703763,51.20618023609876
50,2020-11-20,0.0,0.0,0.0,20.473606783285614,57.00575003611221,34.17533275523562,236.27498409814322,51.63822472641999
51,2020-11-21,0.0,0.0,0.0,94.48094604019138,19.129351226521976,31.374742593256784,239.67406632173333,61.104516983243634
52,2020-11-22,0.0,0.0,0.0,92.3867969138031,58.16601262658424,34.74302378071337,286.0648969444216,63.70698594760177
53,2020-11-23,0.0,0.0,0.0,17.497385850460432,39.76319851254903,31.972234631728874,276.48235319003004,0.0
54,2020-11-24,0.0,0.0,0.0,30.03718104730763,-27.586748922661172,33.56807552080097,369.266073044246,0.0
55,2020-11-25,0.0,0.0,0.0,36.08189840898717,-43.06553246472278,32.331177904816606,293.57859393791284,0.0
56,2020-11-26,0.0,0.0,0.0,95.3694536420212,-31.33655943976419,31.368614415652107,255.40663189611683,0.0
57,2020-11-27,0.0,0.0,0.0,20.164242958189217,35.75554715683074,31.072318171352677,132.520173343149,0.0
58,2020-11-28,0.0,0.0,0.0,93.45687055741644,9.015438268768776,29.902513173004866,139.08227551036737,0.0
59,2020-11-29,0.0,0.0,0.0,103.78928850972557,31.330979998777142,26.419574912095126,131.99700961888541,0.0
60,2020-11-30,0.0,0.0,0.0,100.96934087176987,1.5642041632918335,34.35047200725591,135.71004474484454,0.0
