,Unnamed: 0,Latitude,Longitude,Date,Fire Intensity,Brightness,dist
742483,60929,34.404,-117.905,2020-09-18,609.6,407.1,50.01439306857953
742486,60932,34.411,-117.87200000000001,2020-09-18,1554.1,452.2,52.54669523754929
742487,60933,34.39,-117.917,2020-09-18,174.2,363.2,48.11042806878248
742488,60934,34.414,-117.855,2020-09-18,550.7,402.8,53.825415099753684
742489,60935,34.393,-117.9,2020-09-18,278.5,377.5,49.35757006910291
742490,60936,34.397,-117.883,2020-09-18,608.0,407.0,50.70835407509632
742491,60937,34.4,-117.866,2020-09-18,1676.7,456.3,51.99207128849534
742495,60941,34.399,-117.87200000000001,2020-09-18,1042.1,431.5,51.54188043024719
742497,60943,34.406,-117.895,2020-09-18,766.8,417.1,50.76427546218304
742498,60944,34.42,-117.883,2020-09-18,635.6,408.9,52.666985931485634
742499,60945,34.385999999999996,-117.93799999999999,2020-09-18,124.9,354.3,46.573342355895164
742500,60946,34.395,-117.83,2020-09-18,184.5,364.5,53.865677373851035
742501,60947,34.41,-117.932,2020-09-18,962.6,427.5,49.04625132784905
742502,60948,34.424,-117.92,2020-09-18,574.3,404.3,50.953338854321565
742503,60949,34.414,-117.915,2020-09-18,704.5,413.3,50.33062748716728
742504,60950,34.431,-117.887,2020-09-18,242.8,373.0,53.394869224001496
742505,60951,34.439,-117.90799999999999,2020-09-18,24.6,324.5,52.95055321116149
742506,60952,34.428000000000004,-117.904,2020-09-18,255.3,374.8,52.181836574188424
742507,60953,34.375,-117.934,2020-09-18,98.9,348.5,45.83282151594326
742508,60954,34.417,-117.9,2020-09-18,671.0,411.2,51.43342940818528
742509,60955,34.402,-117.97200000000001,2020-09-18,77.5,344.6,46.24075163424914
742510,60956,34.406,-117.954,2020-09-18,337.5,384.1,47.523263287642564
742511,60957,34.399,-117.929,2020-09-18,319.2,382.1,48.22495047084914
742512,60958,34.383,-117.956,2020-09-18,210.4,368.2,45.32193300247806
742513,60959,34.384,-117.945,2020-09-18,110.8,351.6,46.00907090545391
742514,60960,34.38,-117.963,2020-09-18,113.1,351.7,44.676586102752395
742515,60961,34.395,-117.949,2020-09-18,178.0,363.9,46.78105324204046
742517,60963,34.39,-117.979,2020-09-18,87.2,346.3,44.7710864946008
742518,60964,34.394,-117.961,2020-09-18,158.4,360.2,46.058637587053106
742520,60966,34.399,-117.98700000000001,2020-09-18,47.3,337.6,45.22538772007008
742521,60967,34.429,-117.959,2020-09-18,36.5,332.7,49.41539229618188
742522,60968,34.431999999999995,-117.941,2020-09-18,42.5,334.4,50.58984249472515
742523,60969,34.435,-117.925,2020-09-18,45.7,333.7,51.68816657674515
742524,60970,34.418,-117.955,2020-09-18,171.8,363.2,48.582953327058235
742530,60976,34.349000000000004,-117.887,2020-09-18,86.0,346.4,46.54739763319809
742531,60977,34.202,-117.866,2020-09-18,160.7,358.0,38.56242944866752
742532,60978,34.213,-117.868,2020-09-18,279.7,375.2,38.940993673586576
742534,60980,34.403,-117.851,2020-09-18,455.5,395.3,53.16764321182598
742544,60990,34.374,-117.819,2020-09-18,177.6,363.5,52.983279389399456
742548,60994,34.389,-117.86,2020-09-18,695.8,412.8,51.466579488953876
742550,60996,34.403,-117.911,2020-09-18,545.6,402.5,49.585155637768125
742551,60997,34.397,-117.94200000000001,2020-09-18,229.8,371.2,47.336825526347276
742566,61012,34.372,-117.866,2020-09-19,46.4,340.4,49.722320863870756
742571,61017,34.46,-117.96799999999999,2020-09-19,235.0,394.4,51.96076012725789
742572,61018,34.347,-117.838,2020-09-19,26.2,325.4,49.68113598411888
742583,61029,34.426,-117.79899999999999,2020-09-19,32.9,334.4,58.316520930689364
742587,61033,34.357,-117.839,2020-09-19,22.9,323.2,50.35250413175057
