,Unnamed: 0,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
251,251,2015-11-07,10,13,0.0,1012,11
252,252,2015-11-08,8,5,0.0,1008,11
253,253,2015-11-09,6,5,0.1,1014,9
254,254,2015-11-10,7,13,0.0,1022,9
255,255,2015-11-11,7,7,0.0,1025,10
256,256,2015-11-12,7,21,0.0,1020,8
257,257,2015-11-13,11,21,0.0,1009,12
258,258,2015-11-14,7,6,0.0,1005,7
259,259,2015-11-15,4,8,0.0,1006,6
260,260,2015-11-16,5,18,0.1,1018,6
261,261,2015-11-17,10,42,0.0,1000,12
262,262,2015-11-18,6,8,0.0,1024,8
263,263,2015-11-19,5,18,0.0,1021,7
264,264,2015-11-20,3,9,0.0,1034,7
265,265,2015-11-21,3,10,0.0,1028,8
266,266,2015-11-22,4,6,0.0,1019,9
267,267,2015-11-23,4,7,0.1,1010,7
268,268,2015-11-24,4,18,0.0,1013,6
269,269,2015-11-25,2,13,0.0,1026,7
270,270,2015-11-26,3,9,0.0,1032,10
271,271,2015-11-27,2,5,0.0,1029,11
272,272,2015-11-28,1,3,0.0,1026,11
273,273,2015-11-29,0,1,0.0,1022,9
274,274,2015-11-30,2,6,0.0,1020,9
275,275,2015-12-01,5,7,0.0,1021,10
276,276,2015-12-02,6,9,0.0,1017,9
277,277,2015-12-03,7,13,2.5,1005,7
278,278,2015-12-04,7,15,0.0,1016,9
279,279,2015-12-05,6,9,0.0,1015,6
280,280,2015-12-06,9,21,0.0,1014,11
281,281,2015-12-07,8,7,0.1,1003,8
282,282,2015-12-08,11,23,0.0,1004,13
283,283,2015-12-09,9,21,0.0,1009,10
284,284,2015-12-10,7,31,0.0,991,9
285,285,2015-12-11,6,6,0.1,1003,9
286,286,2015-12-12,6,13,0.2,1000,6
287,287,2015-12-13,6,22,0.0,1001,6
288,288,2015-12-14,4,2,0.0,1021,7
289,289,2015-12-15,3,11,0.0,1025,5
290,290,2015-12-16,3,3,0.0,1024,5
291,291,2015-12-17,3,10,0.0,1010,3
292,292,2015-12-18,3,8,0.0,1015,6
293,293,2015-12-19,3,10,0.0,1016,6
294,294,2015-12-20,3,10,0.0,1011,4
295,295,2015-12-21,4,15,0.0,989,3
296,296,2015-12-22,4,11,0.0,1001,6
297,297,2015-12-23,4,21,0.0,1000,5
298,298,2015-12-24,3,12,0.1,1006,4
299,299,2015-12-25,2,1,0.2,1025,4
300,300,2015-12-26,2,4,0.0,1033,4
301,301,2015-12-27,2,6,0.4,1018,4
302,302,2015-12-28,4,9,0.0,1019,6
