,Unnamed: 0,Latitude,Longitude,Date,Fire Intensity,Brightness,dist
355207,355207,46.9694,-121.4476,2017-09-05,99.4,324.4,97.6201771337041
355208,355208,46.9546,-121.4472,2017-09-05,97.2,323.8,98.85123286196037
355212,355212,47.0028,-121.3744,2017-09-05,90.5,323.7,98.90669103653673
355214,355214,47.0027,-121.3669,2017-09-05,87.9,323.0,99.3294480614058
355215,355215,47.049,-121.3354,2017-09-05,83.9,320.1,97.70914437680102
355216,355216,47.0472,-121.3778,2017-09-05,193.4,339.0,95.39688621619396
355217,355217,47.047,-121.3832,2017-09-05,268.4,347.4,95.1039461092078
355218,355218,47.1788,-121.4251,2017-09-05,136.7,329.7,83.5161588910528
355219,355219,47.0323,-121.3779,2017-09-05,197.7,339.0,96.49066558306174
355220,355220,47.034,-121.339,2017-09-05,178.2,336.4,98.58041626019136
355221,355221,47.0192,-121.3363,2017-09-05,167.3,334.8,99.8159333719946
355224,355224,47.177,-121.4653,2017-09-05,85.0,320.2,81.17003311744081
355228,355228,47.1789,-121.4313,2017-09-05,149.6,331.6,83.12710679826513
355229,355229,47.1773,-121.4713,2017-09-05,51.2,311.8,80.7859678360891
355232,355232,47.1938,-121.4311,2017-09-05,43.2,308.5,82.19124255859361
355233,355233,47.1921,-121.47,2017-09-05,21.0,300.9,79.89310408441074
355246,355246,47.327,-121.0872,2017-09-05,86.7,317.1,98.90503584814616
355247,355247,47.342,-121.0896,2017-09-05,116.8,322.7,98.20570126279277
355250,355250,47.3404,-121.0944,2017-09-05,113.5,322.5,97.9169758492026
355251,355251,47.0753,-121.4188,2017-09-05,45.3,310.5,91.00131104061997
355252,355252,47.0588,-121.4591,2017-09-05,398.2,359.3,89.96173533543013
355253,355253,47.0604,-121.419,2017-09-05,455.0,363.5,92.08498864159213
355254,355254,47.044,-121.4605,2017-09-05,333.1,354.2,91.01777535719977
355255,355255,47.0456,-121.4198,2017-09-05,580.3,371.6,93.14450098672079
355256,355256,47.0735,-121.45299999999999,2017-09-05,35.2,307.6,89.1949515948818
355257,355257,47.0753,-121.4138,2017-09-05,44.1,309.5,91.28765607538118
355258,355258,47.0567,-121.4962,2017-09-05,43.2,311.2,88.09259428778358
355386,355386,47.0027,-121.4696,2017-09-05,171.1,324.8,93.78174540153239
355387,355387,47.037,-121.4112,2017-09-05,284.1,335.1,94.27187928533897
355388,355388,47.0546,-121.4138,2017-09-05,906.0,367.0,92.80880160335495
355389,355389,47.0553,-121.4685,2017-09-05,572.3,352.8,89.71077439951229
355390,355390,47.0201,-121.4156,2017-09-05,180.7,326.2,95.31484617716075
355391,355391,47.0564,-121.4803,2017-09-05,448.7,346.7,88.98015029229953
355392,355392,47.0541,-121.3617,2017-09-05,485.5,347.6,95.8195682056521
355393,355393,47.073,-121.4715,2017-09-05,481.4,347.5,88.19816213388687
355394,355394,47.0378,-121.4677,2017-09-05,320.8,338.7,91.10675317061042
355395,355395,47.0729,-121.4269,2017-09-05,197.4,326.2,90.71493783695922
355396,355396,47.0741,-121.4848,2017-09-05,266.1,333.3,87.37721580494996
355397,355397,47.0202,-121.4672,2017-09-05,225.2,330.9,92.51458521287309
355398,355398,47.0721,-121.4174,2017-09-05,150.4,320.3,91.3149551879952
355399,355399,47.0553,-121.4234,2017-09-05,851.1,365.2,92.2161836587452
355400,355400,47.0212,-121.4764,2017-09-05,265.0,333.8,91.94564108399824
355401,355401,47.0377,-121.4205,2017-09-05,289.1,335.7,93.70184238563465
355402,355402,47.0387,-121.4758,2017-09-05,248.5,332.2,90.59893782915623
355403,355403,47.0187,-121.3504,2017-09-05,102.4,314.7,99.05306648020563
355404,355404,47.0194,-121.4077,2017-09-05,159.0,324.2,95.80265666827246
355405,355405,47.0362,-121.3512,2017-09-05,287.8,334.1,97.72075577562892
355406,355406,47.0026,-121.4143,2017-09-05,114.9,318.0,96.73923392373717
355407,355407,47.0537,-121.3539,2017-09-05,402.8,342.2,96.29933461736046
355408,355408,47.0036,-121.4785,2017-09-05,147.5,321.3,93.24314288061808
355409,355409,47.0366,-121.3584,2017-09-05,322.3,337.0,97.27997592537439
355501,355501,47.3726,-121.0592,2017-09-05,27.7,307.2,99.4104353108623
355502,355502,47.3372,-121.0804,2017-09-05,66.8,322.4,99.03061516979713
355503,355503,47.3499,-121.0746,2017-09-05,122.8,335.9,99.01643863823263
355506,355506,47.3242,-121.0844,2017-09-05,234.7,353.4,99.20583310727162
355544,355544,47.0468,-121.3544,2017-09-05,41.8,315.2,96.76737909246546
355545,355545,47.0349,-121.3627,2017-09-05,109.1,334.3,97.1596098988301
355546,355546,46.9776,-121.4647,2017-09-05,49.6,320.1,96.06860745716217
355547,355547,46.9904,-121.4599,2017-09-05,54.8,322.9,95.2794733587421
355548,355548,46.996,-121.4839,2017-09-05,80.2,328.8,93.5777075283244
355549,355549,47.0015,-121.5069,2017-09-05,21.5,308.0,91.94400825039133
355550,355550,46.9959,-121.4246,2017-09-05,74.9,327.4,96.70931798465983
355551,355551,47.0023,-121.4514,2017-09-05,66.6,326.9,94.77420165616049
355552,355552,47.0089,-121.48,2017-09-05,48.6,320.7,92.73804945076746
355553,355553,46.9873,-121.4546,2017-09-05,54.2,322.7,95.8064558401744
355554,355554,46.9932,-121.4788,2017-09-05,62.5,325.0,94.06940233339697
355555,355555,46.9987,-121.5019,2017-09-05,25.6,310.4,92.42989434629806
355556,355556,46.9927,-121.419,2017-09-05,55.9,322.6,97.26135827614107
355557,355557,46.9991,-121.4459,2017-09-05,99.8,334.8,95.32040419447092
355558,355558,47.006,-121.4745,2017-09-05,81.1,330.0,93.25956451250173
355559,355559,47.0116,-121.49799999999999,2017-09-05,29.4,311.8,91.58027640264368
355560,355560,47.0111,-121.4377,2017-09-05,109.3,336.0,94.81177028851465
355561,355561,47.0183,-121.4679,2017-09-05,107.3,335.3,92.62760910555541
355562,355562,47.0246,-121.4942,2017-09-05,255.6,357.8,90.7329792551016
355563,355563,47.0303,-121.51799999999999,2017-09-05,30.3,311.0,89.026905546761
355564,355564,47.0234,-121.4312,2017-09-05,46.8,320.5,94.20718769611814
355565,355565,47.0304,-121.4606,2017-09-05,75.9,328.1,92.06760058952067
355566,355566,47.0373,-121.4895,2017-09-05,755.0,396.9,89.97352440057124
355567,355567,47.0434,-121.5151,2017-09-05,260.6,358.5,88.12889078001568
355568,355568,47.0491,-121.4808,2017-09-05,32.6,312.4,89.51803513985914
355569,355569,47.0476,-121.4162,2017-09-05,77.2,327.8,93.195857397175
355570,355570,47.0544,-121.4449,2017-09-05,72.7,328.0,91.08263989423189
355571,355571,47.0609,-121.4725,2017-09-05,78.9,327.6,89.06215718868985
355572,355572,47.0675,-121.5001,2017-09-05,21.8,307.1,87.04315899548715
355573,355573,47.0596,-121.4082,2017-09-05,69.6,324.5,92.75600455442573
355574,355574,47.0661,-121.4359,2017-09-05,104.3,334.1,90.7082263129735
355575,355575,47.0731,-121.4657,2017-09-05,135.0,339.9,88.51378104519371
355576,355576,47.0794,-121.4921,2017-09-05,52.6,319.5,86.57064647309119
355577,355577,47.0646,-121.4319,2017-09-05,106.7,334.4,91.04515405865222
355578,355578,47.0719,-121.4619,2017-09-05,134.6,339.8,88.81615455756291
355579,355579,47.0782,-121.4879,2017-09-05,80.4,327.3,86.89424053186549
355580,355580,47.1916,-121.4474,2017-09-05,71.2,324.7,81.31820567992735
355581,355581,47.1857,-121.4226,2017-09-05,137.8,339.6,83.23145533856353
355582,355582,47.1734,-121.4293,2017-09-05,49.3,317.9,83.60558107089626
355583,355583,47.1884,-121.4285,2017-09-05,99.3,332.5,82.6938150966171
355584,355584,47.1761,-121.4346,2017-09-05,88.8,330.1,83.10491117366071
355585,355585,47.0581,-121.4048,2017-09-05,104.2,333.0,93.05955884450658
355586,355586,47.0522,-121.3804,2017-09-05,263.4,357.9,94.8828086217167
355587,355587,47.0449,-121.3505,2017-09-05,36.2,312.4,97.12939014903608
355588,355588,47.0538,-121.3838,2017-09-05,267.6,358.7,94.57160201159974
355589,355589,47.0416,-121.3909,2017-09-05,83.4,329.9,95.06634784826103
356006,356006,47.1826,-121.4339,2017-09-05,137.3,352.7,82.72888011004258
356007,356007,47.1744,-121.4436,2017-09-05,170.8,358.9,82.66392596903043
356008,356008,46.9893,-121.4271,2017-09-05,119.8,352.5,97.09743229368489
356010,356010,46.9921,-121.4338,2017-09-05,109.3,350.0,96.5190117223021
356011,356011,46.9807,-121.4355,2017-09-05,147.9,357.1,97.3387479407699
356012,356012,46.979,-121.4153,2017-09-05,86.3,343.4,98.54222679635166
356013,356013,46.9693,-121.4375,2017-09-05,60.4,335.4,98.15252895023416
356014,356014,47.1723,-121.4188,2017-09-05,39.2,324.9,84.32274979685026
356486,356486,47.1691,-121.4503,2017-09-05,119.4,337.2,82.60445818220632
356492,356492,47.1812,-121.4582,2017-09-05,15.4,308.4,81.32633707064466
356493,356493,47.178000000000004,-121.4602,2017-09-05,58.4,324.8,81.41432938955047
356494,356494,47.068999999999996,-121.4576,2017-09-05,24.7,309.9,89.27425476397259
356495,356495,47.1761,-121.4205,2017-09-05,36.5,316.1,83.97347944569523
356565,356565,46.995,-121.5051,2017-09-05,370.7,345.7,92.57014555607316
356566,356566,47.0122,-121.5078,2017-09-05,755.0,364.9,91.02349385441072
356568,356568,47.0113,-121.5624,2017-09-05,150.7,327.3,88.32733497939024
356570,356570,46.9793,-121.4033,2017-09-05,105.1,322.7,99.15811359605941
356571,356571,47.3375,-121.072,2017-09-05,229.3,331.3,99.6220656922366
356573,356573,46.9784,-121.4608,2017-09-05,326.0,342.6,96.20482194957378
356574,356574,46.9753,-121.4529,2017-09-05,364.5,345.4,96.86597155296288
356575,356575,47.0129,-121.5106,2017-09-05,541.4,355.0,90.82183102202517
356709,356709,47.0113,-121.4972,2017-09-06,13.9,315.7,91.6461662459131
356710,356710,47.0089,-121.5117,2017-09-06,19.7,321.5,91.09162847262596
356711,356711,47.0452,-121.5235,2017-09-06,7.7,308.8,87.54174984711324
356712,356712,47.0543,-121.5265,2017-09-06,35.2,333.9,86.65787592228456
356722,356722,47.052,-121.5407,2017-09-06,27.9,329.0,86.09269387439832
356723,356723,47.0723,-121.5335,2017-09-06,8.9,309.5,84.86270561057398
356724,356724,47.07,-121.5479,2017-09-06,6.1,305.3,84.27573812849593
356725,356725,47.348,-121.0907,2017-09-06,19.5,320.4,97.92259331924872
356726,356726,47.3615,-121.0659,2017-09-06,15.2,316.6,99.26836324824748
356730,356730,47.3413,-121.0819,2017-09-06,9.3,310.5,98.78178518592604
356731,356731,47.3123,-121.0867,2017-09-06,15.5,318.6,99.48169619671764
356734,356734,46.9761,-121.4929,2017-09-06,20.8,320.6,94.75147725679862
356738,356738,47.3815,-121.0589,2017-09-06,4.8,301.8,99.16824824611909
356743,356743,47.3503,-121.0767,2017-09-06,6.2,304.7,98.85211261596992
357109,357109,47.0836,-121.4599,2017-09-06,14.0,312.6,88.05511507911848
357110,357110,47.0819,-121.4446,2017-09-06,6.6,304.9,89.0471467079405
357111,357111,47.0599,-121.5198,2017-09-06,12.6,312.3,86.5718601271421
357113,357113,47.0518,-121.5381,2017-09-06,13.2,312.6,86.24519986726105
357114,357114,47.05,-121.5215,2017-09-06,58.8,341.0,87.26473181118507
357119,357119,47.3849,-121.054,2017-09-06,12.9,309.1,99.42637181104394
357120,357120,47.0179,-121.4133,2017-09-06,8.5,307.6,95.60997878109153
357124,357124,47.0171,-121.4974,2017-09-06,21.6,319.8,91.16719256926633
357125,357125,47.0073,-121.4997,2017-09-06,13.9,313.1,91.84107196439348
357126,357126,46.9788,-121.4232,2017-09-06,12.9,310.3,98.13941783951638
357127,357127,47.1828,-121.4319,2017-09-06,6.8,304.5,82.83963876187543
357128,357128,47.1926,-121.4297,2017-09-06,8.2,306.0,82.35400196257005
357129,357129,47.3071,-121.0822,2017-09-06,13.6,312.0,99.99761842005371
357132,357132,46.9731,-121.4784,2017-09-06,8.7,306.4,95.73561135741866
357133,357133,46.9761,-121.4901,2017-09-06,8.7,306.7,94.89326114548253
357343,357343,47.571999999999996,-122.3722,2017-09-06,6.4,311.7,4.874795273957333
357345,357345,47.6522,-121.5887,2017-09-06,11.1,312.3,56.1699174028366
357359,357359,47.3106,-121.0865,2017-09-06,22.4,325.1,99.55998818809391
357360,357360,47.1742,-121.427,2017-09-06,18.5,321.7,83.69518883503268
357361,357361,47.3788,-121.0563,2017-09-06,23.9,325.3,99.43620205579782
357365,357365,47.0491,-121.5309,2017-09-06,18.5,322.2,86.84006214430678
357367,357367,47.0223,-121.5143,2017-09-06,17.7,321.7,89.86643425551219
357370,357370,46.9599,-121.4462,2017-09-06,13.7,320.1,98.46772267055317
357371,357371,47.0103,-121.50299999999999,2017-09-06,19.0,323.0,91.42635130728091
357372,357372,47.0127,-121.5168,2017-09-06,33.9,332.6,90.51868651831184
357781,357781,47.3597,-121.0609,2017-09-06,13.2,323.8,99.68647991323336
357782,357782,47.0131,-121.5011,2017-09-06,17.6,321.6,91.29765043554812
357783,357783,47.0132,-121.4334,2017-09-06,8.0,311.8,94.87955131463836
357788,357788,47.567,-122.3678,2017-09-06,6.1,312.9,5.177262785399026
357792,357792,47.3097,-121.0868,2017-09-06,14.4,325.1,99.57277956793098
